train images;nb epochs;loss (criterion);optimizer;test images;learning rate;train time (min);training notes;test mean err;Test note;testing on training images mean surf error;Test on train notes;max batch size;Colonne1;sec per image
30 first of dataset;30;CrossEntropy;Adam;30 from 300 to 330;1,00E-04;Unknown;results look ok ish, with a lot of bark;-949,69%;one big outlier negative, but overall it really underestimates;-47,44%;looks ok but min -175% so… not great ! Overall it under-estimates;;;#VALEUR!
2 first of dataset;500;CrossEntropy;Adam;30 from 300 to 330;1,00E-04;33;loss gets below 0.05 ~300 epoch, below 0.1 in 150, and below 1 in 50 already;-175,41%;Also a lot of bark. All embolism regions seem detected, but not all of their surface… Values  most around 0% (17 of 30), otherwise equally distributed to -1200%;-10,17%;both results look very good !;;;1,98
30 first of dataset;500;CrossEntropy;Adam;30 from 300 to 330;1,00E-04;;at epoc 200 loss is around 0.0002… emb surf pred error 0.4257…;-29,00%;between -300% to 100% but most (17) around 0%;-0,07%;very good results, from -2% to 1% with 10 at 0%;1;Colab;
100 first images;25;CrossEntropy;Adam;50 from 300 to 350;1,00E-04;400;it was taking too long so stopped in the middle;-23403,25%;way understimating but still test data doesn't look crazy, just a lot of not detected areas.;-3715,83%;all look promising, one very very low outlier that skews distribution. Underestimating but not too crazy. And not a lot of surrounding or bark.;;GCP;9,6
30 first of dataset;30;CrossEntropy;Adam;30 from 300 to 330;1,00E-03;93;unknown;-162,08%;distributed from -1000% to 200%, most around 0% though (15 of 30);-33,16%;looks not so bad, a lot of bark but embolism regions are pretty well detected ;;GCP;6,2
30 first of dataset;30;CrossEntropy;Adam;30 from 300 to 330;1,00E-02;133;everything is black : strange because loss seems to be low quite fast : around 0.15;-855296,67%;you get the idea : all black;-855296,67%;all black;;GCP;8,866666667
6 images : 3 dead 3 living and 3 specy each : all session 1;500;CrossEntropy;Adam;" 159
to 357 # all Session 2 images 
";1,00E-04;62;;-11364,59%;very big outliers (197 images of session 2), ;-290,55%;for 6 train images the results are not so good, would probably need more epochs !;5;GCP;
160 images of session 1;500;CrossEntropy;Adam;197 images of session 2;1,00E-04;706;NB : starting from saved model of 500 epochs of 6 images of session 1. Loss progression kept going down lower and lower through epochs, with more noise at the end but still going down clearly;-352,68%;Very low outliers but most seem close to 0. Excluding outliers below -500% we get  180 images with mean of -31%, most underestimating, and most from -75% to 25%;-8,03%;distribution is under-estimating, all below 0 and most between -25% and 0%';6;GCP Nvidia V100;0,5295
160 images of session 1;50 on top of 500 from loaded model;CrossEntropy;Adam;197 images of session 2;1,00E-05;425;NB : starting from saved model of 500 epochs of 160 images of session 1, but now training on labels created by alon via image analysis;3,24%;excluding 7 very large errors where the mask was wrong, we have a very good average, but the overall distribution is around -50% to +50%;;;6;GCP Nvidia V100;
30 first of dataset;30;CrossEntropy;SGD no inertia;30 from 300 to 330;1,00E-04;Unknown;loss seemed to go down fast and then be around 0.1, reducing every time. But results seem all zero, so very bad !;-855296,67%;thousands of percent negative;-4449740,00%;very negative…;;;
