"Result.Label-Analysis-2"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index"
0.000441678,2.10784,1.10919,1,0.0237142,1
0.000196301,1.63576,1.13137,1,0.0158094,2
0.000245377,1.92788,1.13207,1,0.0176755,3
0.000343527,2.00054,1.19692,1,0.0209139,4
0.000343527,2.12263,1.21193,1,0.0209139,5
0.000147226,1.8611,1.24229,1,0.0136914,6
0.000441678,1.95917,1.24618,1,0.0237142,7
0.000196301,1.5657,1.27148,1,0.0158094,8
0.000245377,2.4799,1.27498,1,0.0176755,9
0.000245377,1.51456,1.28619,1,0.0176755,10
0.000343527,1.65827,1.29499,1,0.0209139,11
0.000392603,1.99828,1.31526,1,0.0223579,12
0.000245377,2.18988,1.31561,1,0.0176755,13
0.000588904,2.07126,1.32869,1,0.0273828,14
0.000687055,2.41786,1.34003,1,0.0295768,15
0.000588904,2.55521,1.33394,1,0.0273828,16
0.000294452,1.38356,1.36605,1,0.0193625,17
0.000294452,1.7385,1.36722,1,0.0193625,18
0.000196301,2.53244,1.38356,1,0.0158094,19
0.000490753,1.40808,1.40948,1,0.0249969,20
0.000637979,1.57783,1.41509,1,0.0285009,21
9.81507e-05,1.96151,1.40458,1,0.011179,22
0.000392603,2.45188,1.41859,1,0.0223579,23
0.000539829,1.87107,1.42464,1,0.026217,24
0.00073613,2.0848,1.42956,1,0.0306149,25
0.000588904,2.34855,1.42968,1,0.0273828,26
0.000441678,1.75835,1.4291,1,0.0237142,27
0.000245377,1.9517,1.4347,1,0.0176755,28
0.000981507,2.15871,1.44241,1,0.035351,29
4.90753e-05,2.01054,1.45011,1,0.00790472,30
0.000294452,1.6054,1.46296,1,0.0193625,31
0.000294452,2.11913,1.46412,1,0.0193625,32
0.000539829,1.65582,1.47431,1,0.026217,33
0.000441678,2.78892,1.50304,1,0.0237142,34
0.000441678,1.58555,1.50693,1,0.0237142,35
0.000196301,1.77586,1.50265,1,0.0158094,36
0.000490753,2.3398,1.51176,1,0.0249969,37
0.000245377,2.83578,1.50896,1,0.0176755,38
0.000147226,1.22594,1.51316,1,0.0136914,39
0.00073613,2.40004,1.52437,1,0.0306149,40
0.000147226,2.15532,1.5225,1,0.0136914,41
0.000392603,1.61737,1.54031,1,0.0223579,42
0.000539829,2.45953,1.5501,1,0.026217,43
0.000490753,2.76222,1.54329,1,0.0249969,44
0.000343527,2.93025,1.54118,1,0.0209139,45
9.81507e-05,1.1664,1.54118,1,0.011179,46
0.000343527,1.89646,1.55519,1,0.0209139,47
0.000392603,2.35994,1.56132,1,0.0223579,48
9.81507e-05,1.97552,1.57971,1,0.011179,49
0.000441678,2.83796,1.59489,1,0.0237142,50
0.000343527,1.41709,1.60123,1,0.0209139,51
0.000196301,1.19442,1.60773,1,0.0158094,52
0.000441678,2.75234,1.6198,1,0.0237142,53
0.000392603,2.0841,1.62875,1,0.0223579,54
0.000392603,1.38356,1.63313,1,0.0223579,55
0.000147226,1.08817,1.63692,1,0.0136914,56
0.000245377,1.34784,1.64767,1,0.0176755,57
0.000490753,1.49705,1.65817,1,0.0249969,58
0.00073613,1.94283,1.68549,1,0.0306149,59
0.000490753,2.8589,1.67569,1,0.0249969,60
0.000637979,2.49715,1.69315,1,0.0285009,61
0.000490753,2.606,1.6918,1,0.0249969,62
0.000196301,1.70581,1.6918,1,0.0158094,63
0.000343527,1.87044,1.6973,1,0.0209139,64
0.000539829,1.99653,1.7074,1,0.026217,65
0.000490753,2.45819,1.71772,1,0.0249969,66
0.000588904,2.70758,1.72099,1,0.0273828,67
0.000196301,2.93,1.71457,1,0.0158094,68
0.000294452,2.68189,1.75018,1,0.0193625,69
0.000834281,1.19174,1.76247,1,0.032592,70
0.000539829,1.36987,1.75962,1,0.026217,71
0.000196301,2.87396,1.75835,1,0.0158094,72
0.000441678,2.06814,1.77003,1,0.0237142,73
0.000343527,2.77713,1.76736,1,0.0209139,74
0.000588904,3.1279,1.78637,1,0.0273828,75
0.000490753,1.5601,1.78637,1,0.0249969,76
0.000539829,1.39789,1.80229,1,0.026217,77
0.000147226,1.3497,1.80972,1,0.0136914,78
0.000785206,1.58672,1.82271,1,0.0316189,79
0.000687055,2.97829,1.81489,1,0.0295768,80
0.000343527,1.22794,1.8214,1,0.0209139,81
9.81507e-05,2.00704,1.8214,1,0.011179,82
9.81507e-05,2.65154,1.8284,1,0.011179,83
4.90753e-05,2.76713,1.83541,1,0.00790472,84
0.000196301,1.27148,1.84592,1,0.0158094,85
0.000294452,2.85936,1.84825,1,0.0193625,86
0.000441678,2.23549,1.86577,1,0.0237142,87
0.000392603,2.95102,1.87044,1,0.0223579,88
9.81507e-05,1.14538,1.87044,1,0.011179,89
0.000637979,1.56489,1.88175,1,0.0285009,90
0.000834281,2.83471,1.88239,1,0.032592,91
0.000343527,1.02279,1.89145,1,0.0209139,92
0.000343527,3.01932,1.89145,1,0.0209139,93
0.000196301,1.08233,1.89496,1,0.0158094,94
0.000196301,1.42559,1.89496,1,0.0158094,95
0.000343527,2.45589,1.90746,1,0.0209139,96
0.000294452,2.50442,1.90546,1,0.0193625,97
0.000147226,2.76946,1.90079,1,0.0136914,98
0.000392603,1.27323,1.9151,1,0.0223579,99
0.000490753,1.46202,1.92158,1,0.0249969,100
0.000588904,2.88505,1.92648,1,0.0273828,101
4.90753e-05,2.74611,1.91947,1,0.00790472,102
0.000490753,1.12436,1.9475,1,0.0249969,103
0.000392603,1.18478,1.94662,1,0.0223579,104
0.000245377,1.28759,1.94329,1,0.0176755,105
0.000196301,1.50966,1.94399,1,0.0158094,106
0.000343527,3.1244,1.9505,1,0.0209139,107
0.000147226,1.3497,1.96384,1,0.0136914,108
4.90753e-05,1.93348,1.96151,1,0.00790472,109
0.000539829,2.84546,1.97106,1,0.026217,110
0.000539829,3.05498,1.98571,1,0.026217,111
0.000343527,1.67028,1.99153,1,0.0209139,112
0.000245377,1.05361,1.99793,1,0.0176755,113
0.000490753,0.973748,2.00914,1,0.0249969,114
0.000343527,2.23472,2.00554,1,0.0209139,115
0.000196301,1.1664,2.00704,1,0.0158094,116
0.000196301,1.48514,2.00704,1,0.0158094,117
0.000147226,1.70698,2.00587,1,0.0136914,118
0.000245377,2.90163,2.00774,1,0.0176755,119
0.000343527,1.00377,2.01755,1,0.0209139,120
0.000539829,1.55774,2.02647,1,0.026217,121
4.90753e-05,2.76012,2.02455,1,0.00790472,122
0.000245377,2.80355,2.02876,1,0.0176755,123
4.90753e-05,2.01755,2.03156,1,0.00790472,124
0.000245377,2.7405,2.03576,1,0.0176755,125
0.000294452,1.10101,2.04557,1,0.0193625,126
0.000785206,1.37349,2.05739,1,0.0316189,127
0.000147226,1.97318,2.05024,1,0.0136914,128
0.000294452,1.1664,2.05958,1,0.0193625,129
0.000687055,1.26497,2.07109,1,0.0295768,130
0.000343527,1.6883,2.05958,1,0.0209139,131
0.000687055,2.43487,2.06208,1,0.0295768,132
0.000441678,2.76479,2.06192,1,0.0237142,133
0.000490753,1.20493,2.06799,1,0.0249969,134
4.90753e-05,1.74434,2.05958,1,0.00790472,135
0.000883356,2.98274,2.07943,1,0.0335369,136
0.000196301,2.87221,2.07885,1,0.0158094,137
0.000147226,1.91013,2.08994,1,0.0136914,138
4.90753e-05,2.16466,2.0876,1,0.00790472,139
4.90753e-05,1.48514,2.09461,1,0.00790472,140
9.81507e-05,1.78287,2.09461,1,0.011179,141
0.000392603,2.77763,2.1165,1,0.0223579,142
0.000294452,2.87921,2.11913,1,0.0193625,143
0.000392603,0.936094,2.14189,1,0.0223579,144
0.000294452,1.52717,2.14014,1,0.0193625,145
0.000245377,0.480569,2.14785,1,0.0176755,146
9.81507e-05,2.69707,2.14715,1,0.011179,147
0.000539829,2.77859,2.1532,1,0.026217,148
0.000392603,2.82142,2.1489,1,0.0223579,149
0.000441678,1.04458,2.16233,1,0.0237142,150
0.000147226,3.00531,2.15766,1,0.0136914,151
0.000294452,0.970245,2.16816,1,0.0193625,152
0.000490753,2.45539,2.17167,1,0.0249969,153
0.000294452,0.87684,2.17984,1,0.0193625,154
0.000294452,1.64276,2.17867,1,0.0193625,155
9.81507e-05,2.96678,2.17867,1,0.011179,156
0.000196301,1.15939,2.19619,1,0.0158094,157
4.90753e-05,0.966742,2.19969,1,0.00790472,158
0.000196301,1.33277,2.2137,1,0.0158094,159
0.000147226,2.34447,2.21136,1,0.0136914,160
0.000441678,2.599,2.2137,1,0.0237142,161
0.000539829,2.76649,2.23472,1,0.026217,162
0.000441678,1.37072,2.23394,1,0.0237142,163
0.000588904,1.23762,2.24698,1,0.0273828,164
4.90753e-05,1.54118,2.23472,1,0.00790472,165
0.000245377,2.44628,2.23752,1,0.0176755,166
0.000294452,2.52194,2.23822,1,0.0193625,167
0.000588904,2.64103,2.26624,1,0.0273828,168
0.000196301,1.65677,2.26974,1,0.0158094,169
9.81507e-05,1.72332,2.27325,1,0.011179,170
0.000392603,2.40635,2.27675,1,0.0223579,171
0.000196301,2.67255,2.27325,1,0.0158094,172
9.81507e-05,1.74784,2.27675,1,0.011179,173
9.81507e-05,2.44137,2.27675,1,0.011179,174
4.90753e-05,2.36782,2.28375,1,0.00790472,175
9.81507e-05,2.3433,2.30477,1,0.011179,176
0.000588904,2.92416,2.33396,1,0.0273828,177
4.90753e-05,3.04033,2.32579,1,0.00790472,178
0.000196301,1.36955,2.3433,1,0.0158094,179
0.000245377,0.84625,2.3496,1,0.0176755,180
0.000294452,1.41158,2.35381,1,0.0193625,181
0.000392603,1.45362,2.36081,1,0.0223579,182
0.000294452,1.11035,2.36782,1,0.0193625,183
0.000687055,1.60974,2.37132,1,0.0295768,184
0.000687055,3.04134,2.36832,1,0.0295768,185
0.000441678,1.15589,2.37482,1,0.0237142,186
0.000245377,1.73874,2.37202,1,0.0176755,187
0.000343527,1.6933,2.37983,1,0.0209139,188
9.81507e-05,2.83368,2.38183,1,0.011179,189
0.000294452,2.94926,2.38533,1,0.0193625,190
9.81507e-05,1.02629,2.38883,1,0.011179,191
0.000392603,1.29512,2.39672,1,0.0223579,192
0.000588904,1.54877,2.39642,1,0.0273828,193
0.000588904,1.37247,2.40752,1,0.0273828,194
9.81507e-05,1.73383,2.40285,1,0.011179,195
0.000687055,1.25146,2.42236,1,0.0295768,196
0.000392603,1.12261,2.42123,1,0.0223579,197
0.000441678,1.52951,2.42308,1,0.0237142,198
0.000196301,1.63576,2.42036,1,0.0158094,199
0.000343527,2.44588,2.42586,1,0.0209139,200
0.000245377,2.49812,2.42526,1,0.0176755,201
0.000147226,2.83017,2.41686,1,0.0136914,202
4.90753e-05,3.18745,2.41686,1,0.00790472,203
4.90753e-05,1.6953,2.43087,1,0.00790472,204
0.000245377,1.4305,2.44208,1,0.0176755,205
9.81507e-05,1.60073,2.44137,1,0.011179,206
0.000245377,2.96468,2.44208,1,0.0176755,207
0.000294452,3.17344,2.44137,1,0.0193625,208
4.90753e-05,2.52894,2.44488,1,0.00790472,209
0.000539829,2.91042,2.45379,1,0.026217,210
0.000687055,1.22294,2.46189,1,0.0295768,211
9.81507e-05,1.34153,2.45188,1,0.011179,212
0.000785206,1.66028,2.46589,1,0.0316189,213
4.90753e-05,1.77236,2.45188,1,0.00790472,214
9.81507e-05,2.42386,2.45539,1,0.011179,215
0.000245377,1.02839,2.46169,1,0.0176755,216
0.000637979,2.71108,2.46697,1,0.0285009,217
4.90753e-05,1.70931,2.46589,1,0.00790472,218
0.000196301,2.52894,2.47115,1,0.0158094,219
0.000343527,2.8582,2.4749,1,0.0209139,220
0.000490753,2.97378,2.475,1,0.0249969,221
0.000294452,3.04384,2.46823,1,0.0193625,222
0.000245377,1.59863,2.4757,1,0.0176755,223
4.90753e-05,1.28899,2.48691,1,0.00790472,224
9.81507e-05,1.62875,2.49392,1,0.011179,225
9.81507e-05,1.00527,2.50092,1,0.011179,226
0.000196301,2.51143,2.50442,1,0.0158094,227
0.000147226,2.70875,2.5126,1,0.0136914,228
0.000490753,2.94576,2.52054,1,0.0249969,229
0.000392603,1.18478,2.52982,1,0.0223579,230
9.81507e-05,2.48341,2.52194,1,0.011179,231
9.81507e-05,2.38883,2.53244,1,0.011179,232
4.90753e-05,0.952732,2.53595,1,0.00790472,233
0.000245377,1.65887,2.53875,1,0.0176755,234
0.00142319,1.38272,2.56783,1,0.0425682,235
9.81507e-05,1.11035,2.54996,1,0.011179,236
9.81507e-05,2.45539,2.54996,1,0.011179,237
0.000343527,3.20846,2.56597,1,0.0209139,238
0.00073613,1.2535,2.57891,1,0.0306149,239
0.000441678,2.94459,2.60678,1,0.0237142,240
4.90753e-05,2.43787,2.606,1,0.00790472,241
0.000343527,2.69907,2.61901,1,0.0209139,242
0.000490753,2.88762,2.62001,1,0.0249969,243
0.00103058,1.24596,2.64103,1,0.036224,244
4.90753e-05,1.296,2.62702,1,0.00790472,245
0.000392603,0.932591,2.64015,1,0.0223579,246
4.90753e-05,2.76713,2.64103,1,0.00790472,247
0.000687055,3.19696,2.65454,1,0.0295768,248
9.81507e-05,1.19091,2.65154,1,0.011179,249
0.000147226,2.23472,2.65504,1,0.0136914,250
0.000637979,1.09769,2.66689,1,0.0285009,251
0.000147226,2.92358,2.65971,1,0.0136914,252
9.81507e-05,0.96324,2.67605,1,0.011179,253
4.90753e-05,2.7321,2.69007,1,0.00790472,254
0.000147226,0.845316,2.69941,1,0.0136914,255
0.000147226,2.22304,2.70174,1,0.0136914,256
0.000147226,2.20436,2.70641,1,0.0136914,257
9.81507e-05,1.78987,2.71108,1,0.011179,258
4.90753e-05,2.26974,2.71108,1,0.00790472,259
0.000245377,2.29356,2.72649,1,0.0176755,260
0.000245377,2.72369,2.72229,1,0.0176755,261
4.90753e-05,1.72332,2.72509,1,0.00790472,262
0.000343527,2.24572,2.74711,1,0.0209139,263
0.000932432,1.28125,2.75606,1,0.0344559,264
4.90753e-05,2.16466,2.75311,1,0.00790472,265
4.90753e-05,1.6953,2.76012,1,0.00790472,266
4.90753e-05,2.12964,2.76012,1,0.00790472,267
4.90753e-05,2.27675,2.76012,1,0.00790472,268
0.000196301,1.66728,2.77938,1,0.0158094,269
0.000343527,2.31378,2.78114,1,0.0209139,270
0.000539829,1.30364,2.78941,1,0.026217,271
9.81507e-05,1.35904,2.78464,1,0.011179,272
0.000392603,2.21282,2.79515,1,0.0223579,273
0.000343527,2.15465,2.79615,1,0.0209139,274
0.000637979,2.88029,2.81293,1,0.0285009,275
0.000490753,2.36642,2.81967,1,0.0249969,276
0.000294452,1.28198,2.81967,1,0.0193625,277
0.000932432,2.31436,2.83644,1,0.0344559,278
0.000343527,2.57598,2.82317,1,0.0209139,279
0.000245377,2.19549,2.84559,1,0.0176755,280
4.90753e-05,1.65327,2.84418,1,0.00790472,281
4.90753e-05,1.97552,2.84418,1,0.00790472,282
4.90753e-05,2.22771,2.85119,1,0.00790472,283
0.000196301,1.21543,2.8617,1,0.0158094,284
0.000392603,0.953607,2.87133,1,0.0223579,285
0.000343527,1.11386,2.8702,1,0.0209139,286
0.000196301,2.40985,2.8687,1,0.0158094,287
0.000196301,2.62351,2.8687,1,0.0158094,288
0.000539829,0.904968,2.88494,1,0.026217,289
0.000147226,2.04791,2.88388,1,0.0136914,290
0.00117781,2.34593,2.89059,1,0.0387251,291
0.000147226,1.41742,2.88855,1,0.0136914,292
0.000147226,0.997099,2.89789,1,0.0136914,293
0.000588904,2.27558,2.90665,1,0.0273828,294
