"Result.Label-Analysis-2"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index"
4.90739e-05,1.42207,0.609459,1,0.00790461,1
0.000294444,2.26621,1.21191,1,0.0193623,2
4.90739e-05,2.31875,1.24694,1,0.00790461,3
4.90739e-05,2.31875,1.28897,1,0.00790461,4
0.000294444,2.52891,1.29247,1,0.0193623,5
4.90739e-05,2.3818,1.30999,1,0.00790461,6
9.81479e-05,2.29073,1.3205,1,0.0111788,7
0.000147222,2.37713,1.32867,1,0.0136912,8
0.000147222,2.46819,1.33334,1,0.0136912,9
4.90739e-05,2.2557,1.34501,1,0.00790461,10
0.000196296,2.39581,1.35552,1,0.0158092,11
0.000196296,1.63573,1.39055,1,0.0158092,12
0.000932405,2.07467,1.40106,1,0.0344554,13
9.81479e-05,2.21717,1.39755,1,0.0111788,14
0.000490739,2.58004,1.41647,1,0.0249966,15
0.000294444,2.38763,1.44192,1,0.0193623,16
0.00024537,1.68547,1.44869,1,0.0176752,17
0.000196296,2.16288,1.4571,1,0.0158092,18
0.000294444,2.54992,1.4536,1,0.0193623,19
0.000687035,1.8509,1.47061,1,0.0295764,20
0.000736109,1.9059,1.48745,1,0.0306144,21
4.90739e-05,1.60421,1.47811,1,0.00790461,22
0.00024537,2.3944,1.48092,1,0.0176752,23
0.000294444,2.11559,1.48862,1,0.0193623,24
0.000637961,1.97118,1.5126,1,0.0285005,25
0.000196296,2.11209,1.52365,1,0.0158092,26
0.000637961,1.51422,1.53739,1,0.0285005,27
0.000294444,1.68243,1.53299,1,0.0193623,28
0.000294444,2.4822,1.5505,1,0.0193623,29
0.000441666,2.53825,1.54895,1,0.0237138,30
9.81479e-05,2.58495,1.55867,1,0.0111788,31
0.000147222,1.93813,1.56918,1,0.0136912,32
0.000441666,1.54817,1.58319,1,0.0237138,33
0.000490739,1.91945,1.60281,1,0.0249966,34
4.90739e-05,1.77234,1.5972,1,0.00790461,35
0.000343518,2.04554,1.60221,1,0.0209136,36
4.90739e-05,1.75833,1.60421,1,0.00790461,37
0.000981479,2.47777,1.61542,1,0.0353505,38
4.90739e-05,1.8634,1.61121,1,0.00790461,39
0.00024537,1.9951,1.61542,1,0.0176752,40
4.90739e-05,2.3818,1.61121,1,0.00790461,41
0.001325,2.59351,1.63015,1,0.0410736,42
0.000343518,1.5902,1.62522,1,0.0209136,43
0.000294444,2.41682,1.62172,1,0.0193623,44
0.000196296,1.7198,1.64274,1,0.0158092,45
0.000392592,1.91857,1.64537,1,0.0223576,46
0.00024537,2.03433,1.65184,1,0.0176752,47
0.000981479,2.52015,1.6564,1,0.0353505,48
0.000441666,1.6945,1.66959,1,0.0237138,49
0.000932405,2.46696,1.69012,1,0.0344554,50
4.90739e-05,1.66025,1.70228,1,0.00790461,51
9.81479e-05,1.70929,1.70579,1,0.0111788,52
0.000196296,2.41682,1.70403,1,0.0158092,53
0.000490739,2.72225,1.7268,1,0.0249966,54
0.000147222,1.56685,1.72563,1,0.0136912,55
0.000490739,2.46726,1.75132,1,0.0249966,56
0.00024537,2.53451,1.81016,1,0.0176752,57
0.00024537,2.56253,1.83959,1,0.0176752,58
0.00024537,2.60737,1.84659,1,0.0176752,59
0.000932405,2.80322,1.86451,1,0.0344554,60
0.000294444,2.86866,1.8634,1,0.0193623,61
0.000196296,1.66375,1.90193,1,0.0158092,62
4.90739e-05,2.54292,1.89843,1,0.00790461,63
0.000147222,1.55517,1.90544,1,0.0136912,64
0.000883331,2.75658,1.91594,1,0.0335364,65
0.000539813,1.52524,1.92518,1,0.0262166,66
0.000196296,2.54642,1.92995,1,0.0158092,67
0.000196296,2.66551,1.92995,1,0.0158092,68
0.000490739,1.62172,1.94046,1,0.0249966,69
0.00024537,1.67847,1.94607,1,0.0176752,70
0.000441666,2.71338,1.94669,1,0.0237138,71
9.81479e-05,2.5254,1.94747,1,0.0111788,72
0.000539813,2.80466,1.95511,1,0.0262166,73
0.00024537,1.57058,1.95728,1,0.0176752,74
0.000343518,1.68127,1.98049,1,0.0209136,75
9.81479e-05,2.5184,1.97549,1,0.0111788,76
0.000490739,2.56884,1.9839,1,0.0249966,77
0.000343518,2.63599,1.97849,1,0.0209136,78
0.000294444,1.58436,1.99534,1,0.0193623,79
0.00024537,1.7191,1.9951,1,0.0176752,80
0.000343518,1.59921,2.02753,1,0.0209136,81
9.81479e-05,1.7198,2.04554,1,0.0111788,82
0.000294444,2.53474,2.05605,1,0.0193623,83
0.000441666,1.55206,2.05877,1,0.0237138,84
0.000490739,1.62452,2.06726,1,0.0249966,85
0.000294444,2.57094,2.07707,1,0.0193623,86
0.000343518,1.54016,2.09658,1,0.0209136,87
0.00024537,2.48547,2.10579,1,0.0176752,88
0.000637961,1.46087,2.11667,1,0.0285005,89
4.90739e-05,1.67426,2.1226,1,0.00790461,90
9.81479e-05,2.6585,2.13661,1,0.0111788,91
0.000834257,1.51932,2.16175,1,0.0325916,92
0.000343518,1.66025,2.16663,1,0.0209136,93
0.000736109,2.71758,2.16697,1,0.0306144,94
0.000343518,2.45385,2.16863,1,0.0209136,95
0.000392592,1.57269,2.17864,1,0.0223576,96
0.000392592,2.41069,2.17777,1,0.0223576,97
0.000196296,1.62172,2.19616,1,0.0158092,98
4.90739e-05,1.64624,2.19966,1,0.00790461,99
0.00117777,2.50585,2.22155,1,0.0387245,100
0.000490739,2.43924,2.2515,1,0.0249966,101
4.90739e-05,2.35377,2.30474,1,0.00790461,102
0.000294444,2.42733,2.33626,1,0.0193623,103
4.90739e-05,1.49913,2.34677,1,0.00790461,104
4.90739e-05,1.94046,2.35377,1,0.00790461,105
0.000196296,1.96848,2.36253,1,0.0158092,106
0.000539813,2.36333,2.38243,1,0.0262166,107
4.90739e-05,1.92645,2.3818,1,0.00790461,108
0.000196296,1.77759,2.39581,1,0.0158092,109
0.000147222,1.83305,2.39814,1,0.0136912,110
4.90739e-05,2.05255,2.40281,1,0.00790461,111
0.000637961,2.4761,2.42975,1,0.0285005,112
0.000539813,2.54037,2.4302,1,0.0262166,113
0.000294444,1.71279,2.43784,1,0.0193623,114
0.000588887,1.89843,2.45302,1,0.0273824,115
4.90739e-05,2.33276,2.45885,1,0.00790461,116
0.000588887,2.52657,2.46819,1,0.0273824,117
0.000196296,2.06306,2.47637,1,0.0158092,118
0.00024537,1.71629,2.48687,1,0.0176752,119
0.0011287,2.01295,2.48901,1,0.0379092,120
0.00024537,2.34116,2.48267,1,0.0176752,121
0.000441666,1.91244,2.49388,1,0.0237138,122
9.81479e-05,2.10509,2.50439,1,0.0111788,123
0.000490739,1.76533,2.5275,1,0.0249966,124
0.000147222,2.33276,2.5149,1,0.0136912,125
4.90739e-05,1.52015,2.53591,1,0.00790461,126
0.000196296,2.47637,2.53591,1,0.0158092,127
9.81479e-05,2.00351,2.55342,1,0.0111788,128
0.000196296,2.30824,2.55342,1,0.0158092,129
0.000490739,1.7219,2.57444,1,0.0249966,130
9.81479e-05,1.4606,2.58145,1,0.0111788,131
0.000147222,2.28839,2.58028,1,0.0136912,132
9.81479e-05,2.1261,2.60947,1,0.0111788,133
0.00024537,2.04834,2.61857,1,0.0176752,134
0.000343518,2.27672,2.62498,1,0.0209136,135
0.000392592,2.36691,2.66989,1,0.0223576,136
0.000539813,2.10222,3.05876,1,0.0262166,137
