,plant_name,scan_nb,image_nb,voxel_size,session,pathname
0,1-fs-08,living,750,0.00700538,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Fs_08/slice00750.tif
1,1-fs-09,living,749,0.00700535,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Fs_09/slice00749.tif
2,1-fs-10,living,765,0.0070053,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Fs_10/slice00765.tif
3,1-fs-11,living,764,0.007005,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Fs_11/slice00764.tif
4,1-fs-12,living,740,0.00700497,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Fs_12/slice00740.tif
5,1-qi-11,living,751,0.00700528,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qi_11/slice00751.tif
6,1-qp-07,living,760,0.00799,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_07/slice00760.tif
7,1-qp-08,living,774,0.00799011,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_08/slice00774.tif
8,1-qp-09,living,774,0.00799001,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_09/slice00774.tif
9,1-qp-10,living,743,0.00700507,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_10/slice00743.tif
10,1-qp-11,living,743,0.00798992,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_11/slice00743.tif
11,1-qp-12,living,740,0.00700537,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/1_Qp_12/slice00740.tif
12,2-fs-07,living,563,0.00700493,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Fs_07/slice00563.tif
13,2-fs-08,living,823,0.00700548,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Fs_08/slice00823.tif
14,2-fs-09,living,742,0.00700541,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Fs_09/slice00742.tif
15,2-fs-10,living,752,0.007005,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Fs_10/slice00752.tif
16,2-fs-11,living,797,0.00700481,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Fs_11/slice00797.tif
17,2-qi-07,living,763,0.00701021,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qi_07/slice00763.tif
18,2-qi-09,living,710,0.00700498,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qi_09/slice00710.tif
19,2-qi-11,living,752,0.00701006,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qi_11/slice00752.tif
20,2-qp-08,living,751,0.00700564,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qp_08/slice00751.tif
21,2-qp-09,living,754,0.00799002,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qp_09/slice00754.tif
22,2-qp-10,living,758,0.00799016,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qp_10/slice00758.tif
23,2-qp-12,living,477,0.00799024,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/2_Qp_12/slice00477.tif
24,3-fs-07,living,750,0.0070055,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Fs_07/slice00750.tif
25,3-fs-08,living,760,0.00700303,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Fs_08/slice00760.tif
26,3-fs-10,living,751,0.0070052,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Fs_10/slice00751.tif
27,3-fs-11,living,763,0.00700574,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Fs_11/slice00763.tif
28,3-fs-12,living,745,0.00700537,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Fs_12/slice00745.tif
29,3-qi-07,living,742,0.00700939,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Qi_07/slice00742.tif
30,3-qi-08,living,718,0.00700971,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Qi_08/slice00718.tif
31,3-qi-09,living,729,0.00700956,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Qi_09/slice00729.tif
32,3-qi-10,living,843,0.00700977,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Qi_10/slice00843.tif
33,3-qi-11,living,756,0.00700506,Session1,/Volumes/PERL/invites/Session1/Living_plants/Analyzed/3_Qi_11/slice00756.tif
