"Result.Label-Analysis-2"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index"
2.025e-05,1.3275,0.5265,1,0.00507771,1
4.05e-05,1.77075,0.558,1,0.00718096,2
2.025e-05,1.3815,0.5625,1,0.00507771,3
0.00014175,1.78779,0.564429,1,0.0134343,4
0.001134,1.29037,0.585241,1,0.0379981,5
0.00087075,1.69252,0.591907,1,0.0332967,6
8.1e-05,1.395,0.58725,1,0.0101554,7
2.025e-05,2.088,0.5985,1,0.00507771,8
0.0010935,1.63333,0.62775,1,0.0373134,9
2.025e-05,1.9215,0.6075,1,0.00507771,10
0.00054675,2.0875,0.622,1,0.0263845,11
6.075e-05,1.461,0.6135,1,0.00879485,12
0.00119475,1.58423,0.6255,1,0.0390026,13
8.1e-05,2.17012,0.617625,1,0.0101554,14
4.05e-05,1.74825,0.621,1,0.00718096,15
0.001053,2.00466,0.637788,1,0.0366159,16
6.075e-05,1.797,0.627,1,0.00879485,17
0.0002025,1.23885,0.6444,1,0.0160571,18
0.0013365,1.28516,0.657341,1,0.0412515,19
2.025e-05,1.4535,0.639,1,0.00507771,20
4.05e-05,1.791,0.65025,1,0.00718096,21
2.025e-05,2.088,0.648,1,0.00507771,22
2.025e-05,2.0385,0.6525,1,0.00507771,23
0.001296,1.69298,0.675141,1,0.0406216,24
4.05e-05,2.2095,0.65925,1,0.00718096,25
2.025e-05,1.0575,0.666,1,0.00507771,26
8.1e-05,1.15425,0.6705,1,0.0101554,27
0.00070875,1.35231,0.681814,1,0.0300401,28
2.025e-05,1.557,0.6705,1,0.00507771,29
0.000567,1.03645,0.690429,1,0.0268687,30
6.075e-05,1.1355,0.6825,1,0.00879485,31
4.05e-05,1.611,0.68175,1,0.00718096,32
0.0014175,2.05142,0.699236,1,0.0424831,33
0.00162,1.07904,0.710887,1,0.0454164,34
2.025e-05,1.188,0.6885,1,0.00507771,35
0.00123525,1.64958,0.714688,1,0.0396582,36
0.00010125,1.8189,0.6957,1,0.0113541,37
0.0007695,1.98817,0.707921,1,0.0313011,38
0.00091125,1.5746,0.7193,1,0.0340623,39
0.00014175,1.17579,0.708429,1,0.0134343,40
0.0003645,1.94,0.71675,1,0.0215429,41
6.075e-05,2.118,0.7095,1,0.00879485,42
0.00034425,1.33121,0.729265,1,0.0209359,43
2.025e-05,1.3725,0.7245,1,0.00507771,44
0.0012555,1.74927,0.749758,1,0.0399819,45
0.00095175,1.1926,0.753415,1,0.034811,46
2.025e-05,1.3095,0.738,1,0.00507771,47
2.025e-05,1.98,0.747,1,0.00507771,48
0.00168075,1.0144,0.792108,1,0.0462601,49
0.00091125,2.0031,0.7817,1,0.0340623,50
