"Result.Label-Analysis-2"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index"
0.000191522,3.57421,1.20916,1,0.0156158,1
0.000319203,3.99182,1.22247,1,0.0201599,2
0.000446884,3.94707,1.25672,1,0.0238535,3
6.38406e-05,4.02697,1.26242,1,0.00901578,4
0.000127681,3.97903,1.30637,1,0.0127502,5
0.00248978,4.80713,1.59186,1,0.0563035,6
0.000127681,3.41174,1.68989,1,0.0127502,7
0.00248978,3.85509,1.77297,1,0.0563035,8
0.000766087,3.17071,1.75714,1,0.0312316,9
0.000702246,3.10885,1.79267,1,0.029902,10
0.00102145,3.31436,1.79476,1,0.0360631,11
0.000766087,4.50238,1.79376,1,0.0312316,12
6.38406e-05,3.14807,1.82173,1,0.00901578,13
0.000127681,3.27192,1.82173,1,0.0127502,14
0.000255362,3.208,1.83371,1,0.0180316,15
0.000893768,4.30377,1.85483,1,0.033734,16
0.00274514,3.84097,1.88453,1,0.0591204,17
0.000191522,3.21732,1.867,1,0.0156158,18
0.000255362,4.37454,1.87366,1,0.0180316,19
0.00108529,4.56607,1.88471,1,0.037173,20
0.000127681,4.95781,1.88964,1,0.0127502,21
0.000319203,3.27272,1.90802,1,0.0201599,22
0.00159601,2.68529,1.94509,1,0.0450789,23
0.000127681,4.54633,1.92959,1,0.0127502,24
0.000191522,3.16672,1.93891,1,0.0156158,25
0.000766087,3.32851,1.94757,1,0.0312316,26
0.00146833,3.21199,1.95895,1,0.0432382,27
0.000383043,4.37321,1.95356,1,0.0220841,28
0.000319203,5.06728,1.97034,1,0.0201599,29
0.000702246,4.90007,1.99533,1,0.029902,30
0.00146833,3.12619,2.00689,1,0.0432382,31
0.0023621,3.38281,2.01845,1,0.0548409,32
0.000574565,4.41316,2.00994,1,0.0270473,33
0.00210674,3.31756,2.02898,1,0.0517917,34
0.00389427,3.23609,2.04833,1,0.0704155,35
0.000766087,4.34924,2.02747,1,0.0312316,36
6.38406e-05,4.88191,2.01349,1,0.00901578,37
6.38406e-05,4.87392,2.02947,1,0.00901578,38
0.000191522,2.56746,2.05077,1,0.0156158,39
0.000510725,3.69539,2.05743,1,0.0255005,40
0.00127681,4.45724,2.06263,1,0.0403198,41
0.00140449,4.33931,2.08467,1,0.0422878,42
0.00217058,3.14713,2.1143,1,0.0525706,43
0.00159601,3.87676,2.10777,1,0.0450789,44
0.000127681,3.70338,2.09339,1,0.0127502,45
0.000766087,2.65535,2.11469,1,0.0312316,46
0.0017237,2.87108,2.12535,1,0.0468474,47
0.000127681,3.63147,2.10537,1,0.0127502,48
6.38406e-05,3.77129,2.10138,1,0.00901578,49
0.000574565,2.44584,2.12268,1,0.0270473,50
0.000319203,2.50567,2.11896,1,0.0201599,51
0.00274514,3.31846,2.13873,1,0.0591204,52
0.000510725,2.60075,2.12635,1,0.0255005,53
0.00210674,3.24298,2.14205,1,0.0517917,54
0.00536261,4.26905,2.15988,1,0.082631,55
0.00446884,4.41814,2.15035,1,0.0754315,56
0.000383043,5.08033,2.13201,1,0.0220841,57
0.000255362,5.1256,2.12934,1,0.0180316,58
0.000191522,4.88723,2.13866,1,0.0156158,59
0.0020429,2.75731,2.1653,1,0.051001,60
0.000255362,4.98178,2.14532,1,0.0180316,61
0.000383043,3.63147,2.15731,1,0.0220841,62
0.000446884,5.02345,2.15617,1,0.0238535,63
0.0020429,2.69114,2.18527,1,0.051001,64
0.000510725,4.90688,2.18228,1,0.0255005,65
0.00108529,5.09623,2.19209,1,0.037173,66
0.00300051,2.84088,2.20848,1,0.0618091,67
0.00114913,3.81213,2.20614,1,0.0382507,68
0.00434116,4.64138,2.22957,1,0.0743461,69
0.004405,4.32573,2.23489,1,0.0748907,70
0.000127681,4.98178,2.19726,1,0.0127502,71
0.000702246,2.41008,2.23285,1,0.029902,72
0.000191522,4.87125,2.22389,1,0.0156158,73
0.00376659,3.67054,2.27811,1,0.0692515,74
0.00229826,3.78927,2.27671,1,0.0540947,75
0.000255362,2.47891,2.27716,1,0.0180316,76
0.00319203,4.54073,2.31184,1,0.0637512,77
0.000829927,2.32203,2.30605,1,0.0325069,78
0.00395812,3.59835,2.33154,1,0.0709903,79
0.00357507,4.82541,2.31768,1,0.0674679,80
0.00485188,3.90933,2.34602,1,0.0785978,81
0.00351123,3.81284,2.36374,1,0.0668628,82
0.000127681,5.44521,2.33309,1,0.0127502,83
0.000255362,2.44894,2.35306,1,0.0180316,84
0.00459652,3.64423,2.40933,1,0.0765015,85
0.00255362,4.62902,2.39301,1,0.0570208,86
0.00344739,3.75221,2.42882,1,0.0662522,87
0.000127681,1.66193,2.39301,1,0.0127502,88
0.00504341,4.85116,2.42057,1,0.080134,89
0.000127681,2.33309,2.401,1,0.0127502,90
0.000255362,2.28115,2.41299,1,0.0180316,91
0.00223442,2.61868,2.42509,1,0.0533381,92
6.38406e-05,3.25993,2.41299,1,0.00901578,93
0.00376659,3.88451,2.46106,1,0.0692515,94
0.000127681,1.72984,2.43696,1,0.0127502,95
0.00242594,4.68699,2.46198,1,0.055577,96
0.00427732,2.49205,2.47452,1,0.0737974,97
0.00312819,4.77412,2.50023,1,0.0631105,98
0.000127681,3.29589,2.47691,1,0.0127502,99
0.00229826,3.81968,2.51131,1,0.0540947,100
0.000127681,5.16156,2.4809,1,0.0127502,101
0.0020429,2.57154,2.50388,1,0.051001,102
6.38406e-05,3.29988,2.50088,1,0.00901578,103
0.000702246,5.33443,2.5096,1,0.029902,104
0.0017237,5.10888,2.52544,1,0.0468474,105
0.000638406,5.46918,2.51686,1,0.0285104,106
0.00121297,2.41593,2.53452,1,0.0392989,107
0.000255362,1.55406,2.54083,1,0.0180316,108
0.000383043,5.16555,2.54083,1,0.0220841,109
0.00121297,5.43532,2.55807,1,0.0392989,110
0.000255362,3.31986,2.55281,1,0.0180316,111
0.00293667,5.03459,2.58912,1,0.061148,112
0.00331971,2.49627,2.5963,1,0.0650137,113
0.00242594,4.95487,2.59213,1,0.055577,114
0.000127681,3.2879,2.58078,1,0.0127502,115
6.38406e-05,1.61399,2.58877,1,0.00901578,116
0.00134065,2.37722,2.60665,1,0.0413155,117
0.00242594,5.11782,2.61968,1,0.055577,118
6.38406e-05,2.67666,2.61274,1,0.00901578,119
0.000191522,3.27325,2.63138,1,0.0156158,120
0.000127681,2.80051,2.6447,1,0.0127502,121
0.00536261,4.95306,2.6837,1,0.082631,122
0.000510725,5.41025,2.65169,1,0.0255005,123
0.000127681,3.29988,2.67266,1,0.0127502,124
0.000191522,4.53301,2.674,1,0.0156158,125
0.00255362,5.15077,2.70542,1,0.0570208,126
0.000574565,5.46252,2.69974,1,0.0270473,127
0.00549029,5.03019,2.73659,1,0.0836089,128
0.000127681,4.52635,2.71661,1,0.0127502,129
0.000191522,5.37196,2.72194,1,0.0156158,130
0.000191522,3.00958,2.72993,1,0.0156158,131
0.000319203,3.049,2.73898,1,0.0201599,132
6.38406e-05,1.47816,2.74058,1,0.00901578,133
0.000127681,2.87641,2.74458,1,0.0127502,134
6.38406e-05,3.7633,2.74058,1,0.00901578,135
0.000319203,3.30468,2.76615,1,0.0201599,136
0.000255362,4.54233,2.76056,1,0.0180316,137
0.000127681,1.51811,2.76855,1,0.0127502,138
0.000127681,4.85394,2.76455,1,0.0127502,139
6.38406e-05,4.14683,2.78053,1,0.00901578,140
6.38406e-05,3.81124,2.78852,1,0.00901578,141
6.38406e-05,4.44246,2.79651,1,0.00901578,142
0.000255362,4.50438,2.8045,1,0.0180316,143
0.000255362,2.34507,2.8085,1,0.0180316,144
6.38406e-05,3.55556,2.8045,1,0.00901578,145
0.000255362,2.27316,2.81649,1,0.0180316,146
0.00114913,5.0821,2.8338,1,0.0382507,147
0.000446884,3.31016,2.83646,1,0.0238535,148
0.000191522,4.12818,2.83113,1,0.0156158,149
6.38406e-05,2.86043,2.83646,1,0.00901578,150
0.000319203,4.44885,2.83966,1,0.0201599,151
0.000574565,2.4121,2.8551,1,0.0270473,152
0.000191522,4.47974,2.8551,1,0.0156158,153
