"Result.Label-Analysis-2"
"Area","BaryCenterX","BaryCenterY","Mean","EqDiameter","index"
2.02501e-05,3.60001,0.684002,1,0.00507772,1
0.000182251,3.57651,0.690502,1,0.0152332,2
0.00010125,3.99421,0.703802,1,0.0113541,3
4.05002e-05,4.03426,0.711002,1,0.00718098,4
0.000465752,3.69001,0.801002,1,0.0243519,5
0.000283501,3.38176,0.833466,1,0.0189991,6
0.00186301,3.64785,0.857937,1,0.0487038,7
0.000526502,4.04672,0.851713,1,0.0258914,8
0.000222751,3.91337,0.852547,1,0.0168409,9
6.07503e-05,3.36601,0.864002,1,0.00879486,10
0.000708753,3.57969,0.889845,1,0.0300402,11
0.00117451,3.98522,0.885726,1,0.0386707,12
2.02501e-05,2.32651,0.882002,1,0.00507772,13
6.07503e-05,3.59851,0.894002,1,0.00879486,14
0.000324001,2.44097,0.91519,1,0.0203109,15
0.00168076,3.52942,0.941424,1,0.0462602,16
0.00115426,3.88667,0.940423,1,0.0383359,17
0.00131626,3.93737,0.960787,1,0.0409379,18
0.000972004,4.20038,0.94744,1,0.0351795,19
0.000121501,3.32176,0.948752,1,0.0124378,20
4.05002e-05,2.35351,0.956252,1,0.00718098,21
6.07503e-05,2.54101,0.960002,1,0.00879486,22
0.00111375,2.37772,0.987957,1,0.0376574,23
0.000587253,3.8157,0.97464,1,0.0273443,24
6.07503e-05,2.34901,0.969002,1,0.00879486,25
0.00143776,2.45954,0.992411,1,0.0427856,26
0.000850504,3.75987,0.989466,1,0.0329074,27
2.02501e-05,2.37151,0.985502,1,0.00507772,28
0.000344252,3.42848,1.00165,1,0.020936,29
0.00455627,3.68607,1.04226,1,0.0761658,30
0.000303751,4.16431,1.0098,1,0.0196659,31
0.000222751,2.88982,1.01455,1,0.0168409,32
0.00176176,3.4962,1.03557,1,0.0473618,33
0.000182251,3.41551,1.0215,1,0.0152332,34
0.000121501,3.43801,1.02675,1,0.0124378,35
0.00159976,3.57375,1.04617,1,0.0451317,36
0.000587253,3.59659,1.02445,1,0.0273443,37
0.00222751,3.81319,1.05247,1,0.0532556,38
0.000789754,3.91339,1.03962,1,0.0317103,39
0.00153901,2.46997,1.05442,1,0.0442665,40
0.000283501,3.41615,1.044,1,0.0189991,41
0.000141751,2.53415,1.04272,1,0.0134344,42
0.00010125,3.24541,1.0449,1,0.0113541,43
0.00162001,2.8831,1.07021,1,0.0454165,44
0.000445502,3.20217,1.06814,1,0.0238166,45
6.07503e-05,3.50701,1.059,1,0.00879486,46
0.00117451,4.20549,1.07643,1,0.0386707,47
0.00131626,2.36811,1.08644,1,0.0409379,48
0.000202501,2.77831,1.0701,1,0.0160572,49
0.000627753,2.81715,1.07391,1,0.0282715,50
2.02501e-05,3.74401,1.0665,1,0.00507772,51
0.00111375,1.8572,1.09154,1,0.0376574,52
0.000182251,3.90601,1.0755,1,0.0152332,53
4.05002e-05,3.92176,1.071,1,0.00718098,54
4.05002e-05,3.15226,1.0755,1,0.00718098,55
2.02501e-05,3.75301,1.08,1,0.00507772,56
0.00123526,2.94035,1.10767,1,0.0396582,57
2.02501e-05,2.97001,1.089,1,0.00507772,58
0.00153901,2.49857,1.11541,1,0.0442665,59
2.02501e-05,3.55951,1.0935,1,0.00507772,60
2.02501e-05,3.51001,1.098,1,0.00507772,61
0.00210601,4.26285,1.12236,1,0.0517828,62
0.000344252,1.75262,1.11362,1,0.020936,63
0.00166051,1.93155,1.12879,1,0.0459807,64
0.00261226,2.24899,1.13132,1,0.0576718,65
0.000668253,2.41078,1.12146,1,0.0291693,66
0.000182251,3.14551,1.116,1,0.0152332,67
0.0010125,3.16117,1.13625,1,0.0359049,68
0.00313876,2.8393,1.15273,1,0.0632171,69
2.02501e-05,3.13201,1.125,1,0.00507772,70
0.00145801,2.18394,1.15425,1,0.0430859,71
0.00125551,4.15373,1.15208,1,0.039982,72
0.00121501,2.0034,1.15875,1,0.0393318,73
0.000162001,3.70295,1.14357,1,0.014362,74
0.000263251,4.56786,1.15269,1,0.018308,75
0.00257176,4.23444,1.18527,1,0.057223,76
0.000546752,3.77051,1.16517,1,0.0263846,77
0.00202501,2.09759,1.18562,1,0.0507772,78
0.000850504,2.95651,1.17922,1,0.0329074,79
0.000303751,3.63151,1.1808,1,0.0196659,80
2.02501e-05,4.19851,1.179,1,0.00507772,81
0.00010125,2.41921,1.1889,1,0.0113541,82
0.00151876,3.18979,1.20576,1,0.0439743,83
0.000202501,3.85966,1.19115,1,0.0160572,84
0.000951754,4.54855,1.20485,1,0.0348111,85
0.00194401,1.887,1.21421,1,0.0497513,86
0.000283501,3.72279,1.19475,1,0.0189991,87
0.000324001,3.81151,1.20432,1,0.0203109,88
0.00228826,1.99824,1.22942,1,0.0539769,89
0.00247051,2.80506,1.22732,1,0.0560852,90
0.000891004,4.63051,1.21735,1,0.0336818,91
8.10004e-05,3.66526,1.20825,1,0.0101554,92
2.02501e-05,1.6515,1.2105,1,0.00507772,93
0.000364502,2.49376,1.22075,1,0.0215429,94
0.00275401,2.90353,1.23975,1,0.0592159,95
0.000384752,4.10567,1.21974,1,0.0221333,96
0.000688503,4.34291,1.22612,1,0.0296079,97
0.000425252,2.33808,1.22872,1,0.023269,98
0.00166051,3.09573,1.24881,1,0.0459807,99
0.000445502,1.75194,1.2463,1,0.0238166,100
0.00115426,3.13998,1.2574,1,0.0383359,101
0.000162001,3.70013,1.23638,1,0.014362,102
0.000141751,3.76265,1.24329,1,0.0134344,103
0.000222751,4.04265,1.24241,1,0.0168409,104
2.02501e-05,4.28401,1.2375,1,0.00507772,105
0.000344252,1.91436,1.25312,1,0.020936,106
0.000243001,2.53238,1.24763,1,0.0175897,107
8.10004e-05,4.22101,1.24313,1,0.0101554,108
0.000263251,3.22997,1.25204,1,0.018308,109
6.07503e-05,4.29001,1.2495,1,0.00879486,110
0.00305776,4.38256,1.27887,1,0.062396,111
0.000668253,2.30782,1.26423,1,0.0291693,112
0.000324001,2.44857,1.26253,1,0.0203109,113
0.000283501,2.53543,1.26707,1,0.0189991,114
0.00188326,4.61527,1.2857,1,0.0489677,115
0.0010125,1.71495,1.28277,1,0.0359049,116
0.000324001,3.64951,1.27182,1,0.0203109,117
0.000506252,4.19833,1.2762,1,0.0253886,118
0.00010125,1.7361,1.2717,1,0.0113541,119
2.02501e-05,2.50651,1.278,1,0.00507772,120
0.0010125,2.07432,1.30743,1,0.0359049,121
0.00145801,1.88182,1.31113,1,0.0430859,122
0.000121501,2.82676,1.29525,1,0.0124378,123
0.00194401,3.07773,1.31424,1,0.0497513,124
0.00010125,3.69091,1.2942,1,0.0113541,125
0.00010125,1.7415,1.2996,1,0.0113541,126
0.000364502,2.1825,1.31125,1,0.0215429,127
0.000546752,3.52734,1.30917,1,0.0263846,128
0.00275401,4.46107,1.32386,1,0.0592159,129
0.00384752,3.15664,1.34794,1,0.0699915,130
4.05002e-05,1.73025,1.3095,1,0.00718098,131
0.000162001,2.88226,1.3185,1,0.014362,132
0.00010125,2.91061,1.3158,1,0.0113541,133
0.000243001,3.23176,1.31888,1,0.0175897,134
8.10004e-05,3.64051,1.31625,1,0.0101554,135
4.05002e-05,4.09501,1.31625,1,0.00718098,136
0.000222751,2.28641,1.32914,1,0.0168409,137
0.000546752,3.68851,1.33534,1,0.0263846,138
0.000243001,4.15726,1.32675,1,0.0175897,139
0.00159976,3.23072,1.35279,1,0.0451317,140
0.000263251,4.20924,1.33477,1,0.018308,141
6.07503e-05,2.208,1.335,1,0.00879486,142
4.05002e-05,4.50676,1.35,1,0.00718098,143
0.000486002,1.84875,1.36332,1,0.0248756,144
0.000526502,3.58357,1.36645,1,0.0258914,145
0.000303751,2.30071,1.3698,1,0.0196659,146
0.00190351,1.73878,1.39754,1,0.0492303,147
0.000708753,3.64128,1.38446,1,0.0300402,148
0.00010125,4.43071,1.3716,1,0.0113541,149
0.00247051,4.5906,1.39427,1,0.0560852,150
0.000162001,4.26376,1.37925,1,0.014362,151
0.00172126,4.70325,1.39807,1,0.0468142,152
0.00224776,3.97773,1.40761,1,0.0534971,153
4.05002e-05,3.21526,1.386,1,0.00718098,154
0.000850504,4.17751,1.40079,1,0.0329074,155
0.000607503,4.38121,1.404,1,0.0278118,156
0.000850504,2.6189,1.41407,1,0.0329074,157
2.02501e-05,3.53251,1.395,1,0.00507772,158
0.00305776,2.52883,1.42913,1,0.062396,159
0.000141751,2.98608,1.40722,1,0.0134344,160
0.00121501,2.35718,1.42005,1,0.0393318,161
0.00202501,3.57962,1.43172,1,0.0507772,162
0.000121501,3.17251,1.41075,1,0.0124378,163
0.000992254,4.86791,1.42375,1,0.035544,164
0.000263251,2.91878,1.41854,1,0.018308,165
2.02501e-05,3.53251,1.413,1,0.00507772,166
0.000182251,2.25451,1.4265,1,0.0152332,167
0.000303751,2.40841,1.4328,1,0.0196659,168
4.05002e-05,2.74951,1.42875,1,0.00718098,169
0.000162001,3.19107,1.43494,1,0.014362,170
0.000870754,4.11217,1.45015,1,0.0332968,171
8.10004e-05,4.35376,1.4355,1,0.0101554,172
0.00133651,4.65362,1.44873,1,0.0412516,173
0.000668253,1.43264,1.44723,1,0.0291693,174
0.00143776,4.80341,1.4613,1,0.0427856,175
0.00010125,2.94841,1.4418,1,0.0113541,176
0.000263251,3.1372,1.4542,1,0.018308,177
0.000141751,1.47215,1.45672,1,0.0134344,178
0.000364502,2.43926,1.45425,1,0.0215429,179
4.05002e-05,2.85526,1.449,1,0.00718098,180
0.00279451,4.02816,1.48768,1,0.0596497,181
0.00168076,2.44562,1.49579,1,0.0462602,182
0.000627753,3.08135,1.485,1,0.0282715,183
0.000506252,4.23343,1.48482,1,0.0253886,184
0.00234901,4.72633,1.5051,1,0.0546887,185
0.000546752,4.94968,1.49217,1,0.0263846,186
0.00162001,2.50819,1.51009,1,0.0454165,187
8.10004e-05,4.67776,1.49175,1,0.0101554,188
0.000708753,3.20658,1.50596,1,0.0300402,189
0.000486002,3.14082,1.51744,1,0.0248756,190
2.02501e-05,4.09051,1.5075,1,0.00507772,191
0.00176176,4.90217,1.53512,1,0.0473618,192
0.000627753,2.89685,1.52899,1,0.0282715,193
6.07503e-05,1.743,1.527,1,0.00879486,194
4.05002e-05,4.00726,1.52775,1,0.00718098,195
2.02501e-05,4.03651,1.53,1,0.00507772,196
0.000567003,4.82064,1.54607,1,0.0268688,197
8.10004e-05,2.82376,1.54125,1,0.0101554,198
0.000222751,3.24164,1.54678,1,0.0168409,199
0.00301726,4.2201,1.57268,1,0.0619814,200
6.07503e-05,4.79701,1.5435,1,0.00879486,201
0.00196426,4.09051,1.57398,1,0.0500097,202
0.000202501,2.89126,1.5534,1,0.0160572,203
2.02501e-05,4.03201,1.548,1,0.00507772,204
0.000587253,1.6214,1.57299,1,0.0273443,205
0.000141751,4.80151,1.56279,1,0.0134344,206
0.00143776,1.38334,1.58578,1,0.0427856,207
0.001053,1.65012,1.58297,1,0.0366159,208
0.000141751,3.14101,1.566,1,0.0134344,209
0.00121501,4.32781,1.58333,1,0.0393318,210
0.000607503,3.09031,1.58475,1,0.0278118,211
0.000182251,3.17901,1.58,1,0.0152332,212
0.00129601,3.30329,1.59715,1,0.0406217,213
2.02501e-05,2.89351,1.584,1,0.00507772,214
0.00238951,2.96661,1.61932,1,0.0551581,215
0.00010125,4.30381,1.6029,1,0.0113541,216
0.00228826,4.85264,1.62434,1,0.0539769,217
0.000222751,3.22037,1.61591,1,0.0168409,218
0.000951754,4.42188,1.62699,1,0.0348111,219
0.00125551,1.92876,1.63292,1,0.039982,220
0.00186301,2.8197,1.64935,1,0.0487038,221
0.00238951,4.16834,1.64346,1,0.0551581,222
0.000202501,4.64176,1.6209,1,0.0160572,223
0.00226801,2.8872,1.65689,1,0.0537375,224
2.02501e-05,4.11751,1.62,1,0.00507772,225
0.000972004,1.58672,1.64203,1,0.0351795,226
0.000243001,2.94188,1.635,1,0.0175897,227
2.02501e-05,4.24801,1.6245,1,0.00507772,228
6.07503e-05,4.37101,1.626,1,0.00879486,229
0.00010125,1.692,1.6335,1,0.0113541,230
0.000465752,1.73974,1.64055,1,0.0243519,231
2.02501e-05,4.28851,1.6335,1,0.00507772,232
2.02501e-05,1.638,1.638,1,0.00507772,233
0.00283501,3.11208,1.67844,1,0.0600804,234
6.07503e-05,3.22051,1.6455,1,0.00879486,235
0.000303751,4.69921,1.6488,1,0.0196659,236
4.05002e-05,4.60801,1.64925,1,0.00718098,237
2.02501e-05,3.30301,1.6515,1,0.00507772,238
0.00204526,4.24596,1.68064,1,0.0510304,239
0.00226801,1.99117,1.68658,1,0.0537375,240
0.00346277,4.32769,1.69035,1,0.0663998,241
4.05002e-05,1.6155,1.66725,1,0.00718098,242
2.02501e-05,2.94301,1.674,1,0.00507772,243
0.00190351,3.21152,1.69856,1,0.0492303,244
0.00267301,3.30683,1.71444,1,0.0583385,245
0.000202501,4.58866,1.67895,1,0.0160572,246
0.00176176,4.89679,1.69335,1,0.0473618,247
6.07503e-05,4.68301,1.6845,1,0.00879486,248
0.000141751,1.76979,1.692,1,0.0134344,249
0.000263251,1.29704,1.70204,1,0.018308,250
0.000222751,4.59819,1.70019,1,0.0168409,251
2.02501e-05,1.584,1.6965,1,0.00507772,252
0.00123526,4.97731,1.71502,1,0.0396582,253
2.02501e-05,5.25151,1.701,1,0.00507772,254
4.05002e-05,3.15901,1.70775,1,0.00718098,255
0.000344252,4.68054,1.71556,1,0.020936,256
0.00261226,1.91756,1.73878,1,0.0576718,257
2.02501e-05,3.06901,1.71,1,0.00507772,258
0.00328051,4.4392,1.74264,1,0.0646288,259
0.00204526,1.53722,1.74886,1,0.0510304,260
2.02501e-05,4.08151,1.7145,1,0.00507772,261
0.000445502,1.72514,1.72903,1,0.0238166,262
6.07503e-05,4.01101,1.722,1,0.00879486,263
2.02501e-05,4.78351,1.719,1,0.00507772,264
4.05002e-05,4.86451,1.72125,1,0.00718098,265
0.000789754,4.55643,1.73943,1,0.0317103,266
0.00251101,3.26911,1.78153,1,0.0565431,267
0.000283501,4.72405,1.73925,1,0.0189991,268
2.02501e-05,5.26501,1.7325,1,0.00507772,269
0.00170101,3.11069,1.7669,1,0.0465381,270
8.10004e-05,1.56825,1.74375,1,0.0101554,271
2.02501e-05,2.56051,1.7415,1,0.00507772,272
4.05002e-05,2.67751,1.74375,1,0.00718098,273
2.02501e-05,3.17701,1.7415,1,0.00507772,274
4.05002e-05,4.75876,1.7415,1,0.00718098,275
0.00275401,4.91193,1.77449,1,0.0592159,276
0.00240976,1.3632,1.78026,1,0.0553914,277
2.02501e-05,4.46851,1.755,1,0.00507772,278
6.07503e-05,5.27701,1.7625,1,0.00879486,279
