plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
1-fs-08,1,fs,08,1,7.34437,3.05796,0.1156214915,364,0.018915799175824175,0.006837717506822086,1.5742873997361246,1.7124853103023747,1.2016718500496602,15.488072606757825,22.071830028200537,26.523096823969382,750,440,21800,0.00700538,2,1,
1-fs-09,1,fs,09,1,11.8377,3.8823,0.2470432105,558,0.02228881164874552,0.008187190122577374,2.0869190003125606,1.367794430469843,0.9073826749219529,13.878453056968096,20.920468639640834,18.98287079485813,749,560,54800,0.00700535,1,1,Embolism looks high
1-fs-10,1,fs,10,1,10.2927,3.62009,0.128476326,348,0.02044267643678161,0.007232417298218685,1.2482276370631613,1.542127697828253,0.9070604150350904,6.652332314602357,11.309881621401546,10.258745917506227,765,520,21700,0.0070053,1,1,
1-fs-11,1,fs,11,1,8.81303,3.34979,0.0644779907,281,0.0156809896797153,0.006813823560800099,0.7316211416504881,1.4677937534454646,0.8150457098428301,5.95985733456041,10.73294572494689,8.747841367093907,764,480,22000,0.007005,2.5,1,
1-fs-12,1,fs,12,1,16.1839,4.53938,0.0973540916,266,0.020182168120300752,0.007674503193020788,0.6015490184689722,1.5218298932718983,0.792161464162448,3.7529115003477194,7.209758573741778,5.71129290803305,740,650,22000,0.00700497,1,1,
1-qi-11,1,qi,11,1,7.08009,3.00244,0.0448045217,137,0.01885981102189781,0.007820116231314001,0.632824183025922,1.644872384616457,1.1033556443597,9.03257509696414,13.465679370854813,14.85743333897063,751,430,22000,0.00700528,1,1,
1-qp-07,1,qp,07,1,9.61387,3.49868,0.0905251945,298,0.01808230520134228,0.007746679481797463,0.9416103452615856,1.377181509935065,1.0384406619830564,10.37607607103802,13.760767113476525,14.289740110713234,760,440,22300,0.00799,2,1,
1-qp-08,1,qp,08,1,12.2634,3.95148,0.0229192259,79,0.017135038860759493,0.008760714127295786,0.18689128545101683,1.1542023529411765,0.9799136267802384,3.952733116620218,4.655771426245024,4.562253863751565,774,495,22400,0.00799011,2.5,1,
1-qp-09,1,qp,09,1,13.4817,4.14312,0.0750761585,189,0.020653236507936507,0.008923675254934023,0.5568745670056446,1.4233859856391284,1.4538265538810775,5.362090123837905,5.249817397838761,7.632323936004852,774,520,22300,0.00799001,2,1,
1-qp-10,1,qp,10,1,11.2167,3.7791,0.019284903,107,0.01352461261682243,0.0068558988398322975,0.17193027360988528,1.3253372215027743,0.5801930779733474,1.9680608659493934,4.4956488087324855,2.6083443198257132,743,540,22400,0.00700507,2.5,1,
1-qp-11,1,qp,11,1,5.09689,2.54746,0.0344091332,68,0.022984241764705884,0.010850640791551456,0.6751005652466504,1.52580482927501,1.280769794320264,6.160226631575947,7.338792330651074,9.399303543887108,743,320,22000,0.00798992,1.5,1,
1-qp-12,1,qp,12,1,15.8842,4.49715,0.3989324256,455,0.03011408410989011,0.014489562454698013,2.5115046750859342,1.1581625956981407,2.6479782707658863,22.032776169699513,9.636611267113901,25.517537239135326,740,650,22000,0.00700537,1,1,Looks nice !!
2-fs-07,2,fs,07,1,15.6257,4.46041,0.15760971370000001,438,0.020101041506849316,0.007364382151563237,1.0086569798473028,1.4946958609540755,0.8485969011289899,8.066139318524744,14.207481829403052,12.056425053277863,563,640,22200,0.00700493,1.5,1,
2-fs-08,2,fs,08,1,20.9624,5.16625,0.1446783146,477,0.01812164146750524,0.007610025901304348,0.6901801062855398,1.5393721314485036,0.6679502621808827,4.025712165165156,9.277740375540526,6.197069116288456,823,740,22200,0.00700548,2,1,
2-fs-09,2,fs,09,1,28.8607,6.0619,0.3126126066,951,0.019054725257623552,0.007450807687091063,1.0831774925764102,1.4120476150869177,0.8129624174027976,7.320414926882156,12.714947478105953,10.336774438950622,742,870,22600,0.00700541,1,1,
2-fs-10,2,fs,10,1,10.8105,3.71003,0.0131507612,70,0.014281437142857142,0.005979330464364608,0.12164803848110632,1.4901620769224406,0.5165792638102809,0.7453930949535839,2.1502150789150054,1.1107565224996785,752,530,22600,0.007005,2.5,1,
2-fs-11,2,fs,11,1,8.87447,3.36145,0.0025515004,17,0.013159152941176472,0.00436540694648243,0.028751017243846676,1.856548726070011,0.5369474236760232,0.21745631291138415,0.7518766696888046,0.4037182407115119,797,500,22000,0.00700481,2.5,1,
2-qi-07,2,qi,07,1,3.68091,2.16487,0.027569229599999998,118,0.015474280169491525,0.007649823084293836,0.7489786384345175,1.3559877107155487,0.6571739164809829,15.68089826317334,32.35537017613685,21.263105337843843,763,310,22400,0.00701021,2,1,
2-qi-09,2,qi,09,1,2.27792,1.70304,0.036262529,169,0.015549272485207101,0.005622031389258413,1.5919140707311936,1.3395983416154547,0.9439069811721603,32.32021100898527,45.86903363563681,43.29610106829822,710,245,22200,0.00700498,2,1,
2-qi-11,2,qi,11,1,2.75327,1.87232,0.0579371628,147,0.020647081224489796,0.008719936245938384,2.104303711586586,1.19737065272698,1.2502116265648715,34.326995898662396,32.876144015930755,41.10213748533776,752,270,22300,0.00701006,2.5,1,
2-qp-08,2,qp,08,1,6.80343,2.94319,0.159948473,460,0.018892296565217393,0.009273166263865191,2.3509975556447267,1.2241140443049818,0.9633846709955768,29.85620001869006,37.93644932578024,36.54739375245717,751,425,22000,0.00700564,1,1,
2-qp-09,2,qp,09,1,7.44667,3.07919,0.1778594854,323,0.02370428117647059,0.01181721765038778,2.388443228986916,1.3291098121458211,1.6044025665818369,23.252919627218358,19.263047991389286,30.90568363757407,754,390,21800,0.00799002,1,1,
2-qp-10,2,qp,10,1,7.18166,3.0239,0.0559900047,118,0.022737454491525425,0.009375212848701485,0.7796248318633853,1.3278493627611405,0.9804085479053071,12.24713597155037,16.587321408220628,16.2623516954722,758,380,22000,0.00799016,1.5,1,
2-qp-12,2,qp,12,1,25.4145,5.68847,0.5745316583,1256,0.021662918343949046,0.010640740739667705,2.2606451368313363,1.1806804086354197,0.991876854004654,28.357764141484374,33.75565869833023,33.48145655455462,477,720,22000,0.00799024,1,1,"Interesting pattern (big trunk), looks quite nice"
3-fs-07,3,fs,07,1,18.2491,4.82033,0.3529127767,1114,0.018681743070017954,0.007375719339973774,1.9338640080880702,1.6392192440356423,0.8320866556547207,11.271832577940197,22.20562576234199,18.477004877307458,750,NA,21200,0.0070055,2,1,
3-fs-08,3,fs,08,1,11.5905,3.84155,0.0581643294,193,0.01757419440414508,0.008674838380303536,0.5018276122686683,1.5653995445815743,0.7083802237810667,2.8457881411327435,6.288706700939253,4.454795460104841,760,550,25300,0.00700303,2.5,1,
3-fs-10,3,fs,10,1,14.7418,4.33242,0.072824042,164,0.021743616219512197,0.009652149912967214,0.49399694745553463,1.4745840360258708,0.9113233260517805,3.214551542906809,5.201366246915733,4.740126388152713,751,620,22200,0.0070052,1.5,1,
3-fs-11,3,fs,11,1,10.0118,3.57035,0.013693429,87,0.013190860919540229,0.005168221662195117,0.13677289798038314,1.6319418409428026,0.6419516101146241,0.706367780124564,1.7956978646308426,1.1527511354791617,763,510,22400,0.00700574,2.5,1,
3-fs-12,3,fs,12,1,18.2124,4.81548,0.1349568418,479,0.017438792651356994,0.007398273588157011,0.7410162405833389,1.487309313036945,0.7631307843090133,4.62000207712301,9.004186774848632,6.871372115555082,745,690,22200,0.00700537,2,1,
3-qi-07,3,qi,07,1,4.17083,2.30444,0.029871985,107,0.01761823785046729,0.006744037076757599,0.7162120009686322,1.1708776185102212,0.9104847384615774,14.69103701599242,18.892580740886974,17.20140643473071,742,330,22100,0.00700939,1.5,1,
3-qi-08,3,qi,08,1,5.68273,2.68988,0.0375399328,144,0.016114274375,0.008530016591415808,0.660596804704781,1.3764469365757956,0.8032532653509105,15.425842459863473,26.433572714707978,21.23285359797991,718,385,23300,0.00700971,2.5,1,
3-qi-09,3,qi,09,1,2.99992,1.95438,0.0231420954,86,0.017060713953488373,0.007222162575122297,0.7714237513000347,1.5117135730303106,1.107231810860999,16.275124789845627,22.220574595341354,24.603327047571717,729,280,22500,0.00700956,2.5,1,
3-qi-10,3,qi,10,1,3.90908,2.23096,0.0404887778,135,0.018091854666666667,0.0074133500950614405,1.035762322592528,1.3235550047909748,0.9723917806759,17.35182559486424,23.618150692696304,22.9660956083427,843,320,22700,0.00700977,2.5,1,
3-qi-11,3,qi,11,1,3.10167,1.98725,0.0204625506,79,0.016982561518987343,0.0064743759145599175,0.6597268761667102,1.399784278506377,1.2136111176291469,20.041665384185954,23.116142982172036,28.054008119868964,756,NA,22000,0.00700506,2.5,1,
3-qi-12,3,qi,12,1,3.21836,2.02429,0.0225242312,118,0.014876145847457627,0.004682601370213317,0.6998667395816502,1.5721096543504174,0.8772940436576759,17.834327530811652,31.959089079347272,28.03751849003644,730,290,22200,0.00700517,1.5,1,
3-qp-09,3,qp,09,1,13.3437,4.12185,0.2143954022,394,0.023627248172588832,0.011615958258523093,1.6067162945809632,1.1152557105485301,0.9798299915769153,34.21168492301623,38.940201163342124,38.15477697788091,744,520,22400,0.00799038,1.5,1,
3-qp-10,3,qp,10,1,11.2074,3.77753,0.3432352915,365,0.03006519698630137,0.01715247291312832,3.062577328372325,1.143720781666015,1.0416100343403119,43.95697354927038,48.266148068825466,50.274504147443864,541,480,21600,0.00799036,1,1,
3-qp-11,3,qp,11,1,12.9385,4.05879,0.1022100338,199,0.023333571256281407,0.010490799838042505,0.7899681864203734,1.356360590536034,1.016294484510809,11.664380606526201,15.567442713536316,15.821106167704942,766,510,22000,0.00799008,1.5,1,
4-fs-07,4,fs,07,1,13.8138,4.19383,0.062732442,289,0.015227923321799307,0.0066815793043390765,0.45412878425921904,1.4041810925813358,0.7441895388467883,2.9713106923572985,5.60644577301946,4.1722582943928765,748,600,22400,0.00700617,2,1,
4-fs-08,4,fs,08,1,13.2503,4.1074,0.1679217506,682,0.01658289684750733,0.006209693526457385,1.2673052730881567,1.7757939964779765,0.7909319905591659,8.904177582591732,19.991586234312724,15.81198509474018,790,590,22000,0.00700611,1,1,seems to be a lot of embolism
4-fs-09,4,fs,09,1,25.7104,5.72149,0.1702540607,537,0.018790134264432032,0.0071205359877193125,0.6621991905999128,1.7021569588072507,0.845974022776739,4.444602861646752,8.942841607895597,7.565411690086639,755,NA,22000,0.00700562,1,1,
4-fs-10,4,fs,10,1,15.5229,4.44571,0.7614092548,1553,0.02334996595621378,0.008892531056299743,4.905070926180031,1.479033472125618,1.4048986801107737,46.4653634960172,48.91728412733259,68.72382790509326,763,650,21700,0.00700563,1,1,seems to be a lot of embolism
4-fs-11,4,fs,11,1,21.9049,5.28112,0.3542536922,855,0.021295524023391812,0.008609946006176745,1.617234920953759,1.4173066844383482,0.823679117323759,10.568909095594233,18.185947893248702,14.979385508406963,753,760,23600,0.00700517,2,1,
4-fs-12,4,fs,12,1,10.6698,3.68582,0.153586542,351,0.022081975612535613,0.008349521983729444,1.4394509925209469,1.6946277546158428,0.988005112042681,8.989367571996635,15.418575874019412,15.233631783949129,713,530,21700,0.00700494,1.5,1,
4-qi-07,4,qi,07,1,6.46164,2.86831,0.0154062268,82,0.014319621707317074,0.00588110489209588,0.23842595378263104,1.687226809130646,0.8020691463711783,5.502357880005082,11.574719923560748,9.28372572857584,741,410,22300,0.0070046,2,1,
4-qi-09,4,qi,09,1,4.43333,2.37585,0.0216903743,86,0.01651268534883721,0.0070021249171493645,0.4892569310202489,1.431958759556717,1.0026388993353745,8.576620201253924,12.249042434636912,12.28136642457665,791,340,22200,0.00700523,2,1,
4-qi-11,4,qi,11,1,2.40322,1.74925,0.0049562,31,0.013125270967741935,0.005686141527151403,0.2062316392173833,1.8315550406974974,1.0167864767158104,6.414554881890434,11.554648489921721,11.748610327757167,757,250,22500,0.00700509,2,1,
4-qp-07,4,qp,07,1,11.0099,3.74409,0.06588657839999999,220,0.018127391818181817,0.007276951715655913,0.5984303072689124,1.4139856134326,1.0331927589109666,14.477690340077345,19.813578521571465,20.47124585660149,765,470,22000,0.00799022,1,1,looks nice
4-qp-08,4,qp,08,1,20.2114,5.07287,0.3224467112,472,0.026168281483050847,0.013617161548799809,1.5953704899215295,1.353472175718208,1.019120100951543,21.75078587190785,28.886765603136453,29.43908347763198,750,640,22000,0.00798988,1,1,looks nice
4-qp-09,4,qp,09,1,19.1323,4.93558,0.7685629529,799,0.03190168142678348,0.014397185512209459,4.017096495978006,1.1890875642483794,1.3253173621466956,43.575056063300416,39.095962036118905,51.81455727629646,715,630,22200,0.00799029,1,1,"looks nice, lot of embolism.."
4-qp-10,4,qp,10,1,19.4532,4.9768,0.4470263389,485,0.029489832804123713,0.01745071807600742,2.297957862459647,1.1358007391707974,1.5822852232980285,45.80859178746275,32.88246116849035,52.02943241257351,754,630,21600,0.00799016,1,1,looks nice
4-qp-11,4,qp,11,1,9.62736,3.50113,0.0769908034,274,0.017478840474452553,0.007242057487678363,0.7997083665719367,1.2934732225988608,1.0337982336035851,13.611926518939356,17.031043280910406,17.606662460231384,762,440,21600,0.00798998,2,1,
4-qp-12,4,qp,12,1,14.7188,4.32904,0.4451725874,577,0.026741171889081455,0.016362010140909874,3.024516858711308,1.1998011037113723,1.3005725410036222,35.61179724090842,32.852510942462324,42.72707363478753,749,550,22300,0.00799014,1,1,"looks nice, quite a lot of embolism"
5-fs-07,5,fs,07,1,15.1531,4.39244,0.3041429918,930,0.019210182913978496,0.006885817562248577,2.007133799684553,1.438043901189109,0.9017514747102777,12.941456325172501,20.638039263422147,18.610382340919536,760,NA,22000,0.00700508,1,1,
5-fs-09,5,fs,09,1,18.5678,4.86222,0.316019686,998,0.01877774857715431,0.007114940338102834,1.7019770031990868,1.801911786112863,0.8161205685648228,11.088736332903046,24.482809845723036,19.980924691355927,751,700,22300,0.00700564,2,1,
5-fs-10,5,fs,10,1,17.7309,4.75139,0.0907909926,477,0.01440365251572327,0.00591213474342969,0.5120495440163783,1.5396484951633351,0.6618904850993644,4.319958064143354,10.04881786694446,6.6512169326270305,769,680,22000,0.00700544,2,1,
5-qi-07,5,qi,07,1,4.71583,2.45039,0.0050050994,31,0.013201106451612904,0.005687235022617786,0.10613400822336683,1.6150877096847112,0.8874640765203023,2.543736763843113,4.6293231384247315,4.108357983956172,1155,350,22500,0.00700497,2,1,
5-qi-08,5,qi,08,1,6.16207,2.80103,0.0029444392,23,0.012269137391304348,0.0036102387381927296,0.047783280618363635,1.3984363652868557,0.9805166820087348,0.7980170993229116,1.1381510914507325,1.1159761318138923,874,400,22300,0.00700528,2.5,1,
5-qi-09,5,qi,09,1,5.20327,2.57391,0.0717408064,192,0.020434072291666668,0.0076485073449004265,1.3787638619560392,1.3541753960425673,1.3201105206526929,61.0396694923261,62.61477150277531,82.65841860907811,753,370,22300,0.00700502,1.5,1,
5-qi-10,5,qi,10,1,6.12697,2.79304,0.037587852,141,0.01739560014184397,0.006089096772607106,0.6134819005152627,1.6285647455338514,1.1840856349491193,9.536777535123338,13.116669285805902,15.531259679701092,762,400,22200,0.00700502,2,1,
5-qi-11,5,qi,11,1,5.22252,2.57867,0.0527036239,151,0.018736520794701988,0.009693540711616131,1.0091607863636711,1.0800662617338488,0.8793895076121468,30.35774087464486,37.285379706422184,32.78837170116254,738,370,21800,0.00700516,1,1,looks quite nice
5-qi-12,5,qi,12,1,3.93439,2.23817,0.009912400200000001,63,0.013248731746031746,0.005020180546355698,0.25194249172044464,1.538168923779439,0.772852529061148,5.437981607550388,10.822937109333523,8.364534316818164,768,320,22200,0.00700509,2.5,1,
5-qp-07,5,qp,07,1,15.3964,4.42756,0.3244377562,467,0.025738194346895074,0.01491900457949063,2.1072312761424747,1.1335468433646236,1.100149320617288,34.48930752301584,35.53630851729312,39.095245672546376,759,560,22100,0.00799003,1,1,looks nice
5-qp-08,5,qp,08,1,7.85422,3.16233,0.1658574846,298,0.02441604523489933,0.010624516313296866,2.111698992388805,1.4386678316362511,1.010459636042607,13.416268453269003,19.101756424341218,19.301553844314356,747,400,21400,0.00799002,1.5,1,
5-qp-09,5,qp,09,1,12.3496,3.96536,0.1847087808,273,0.025608058315018317,0.014368140783071222,1.4956661009263457,1.1907705065036496,1.4912744153114934,26.586963826017005,21.229474640244288,31.658972381500476,355,500,22000,0.00799042,1,1,
5-qp-10,5,qp,10,1,22.7886,5.38659,0.3953125235,469,0.029843922814498932,0.01352493113220297,1.7346942045584197,1.1553800211925633,1.6400499225300027,21.335822062890635,15.030629378132474,24.650982547183347,758,680,22000,0.00799015,1,1,looks nice
5-qp-11,5,qp,11,1,20.5938,5.12063,0.588418483,759,0.026001290513833993,0.017647340436526684,2.857260355058318,1.1126070396282992,1.2435367224720522,47.0332907369591,42.081242495837316,52.329570370825174,748,650,22000,0.00799003,1,1,looks nice
5-qp-12,5,qp,12,1,15.41,4.42952,0.3106453476,575,0.0226832688,0.013177338173774781,2.015868576249189,1.049999318624712,1.2243500124995161,30.948331260069875,26.541206684275743,32.49572673564525,761,560,22000,0.00798999,1,1,
6-fs-07,6,fs,07,1,5.54902,2.65805,0.0143295414,73,0.014979580821917807,0.005088974092630107,0.25823553348158773,1.484731323196134,0.8928604523213606,3.0252466632497805,5.030661252431505,4.491678481321536,742,380,22000,0.00700527,2.5,1,
6-fs-08,6,fs,08,1,5.52585,2.6525,0.0372453169,153,0.016133801699346407,0.007069368768447043,0.6740196874688962,1.5658579298150164,1.0019347102358696,8.212943686153011,12.835470082735597,12.860302998086864,759,380,22200,0.00700511,2.5,1,
6-fs-09,6,fs,09,1,16.1223,4.53073,0.1630997453,494,0.01919059633603239,0.00722502614365332,1.0116406796796982,1.5614062273013414,1.0092970063219966,9.656056369103071,14.938146503409211,15.077026545890316,743,650,22400,0.00700586,1,1,
6-fs-10,6,fs,10,1,4.56994,2.41218,0.0084902062,35,0.01629726,0.006673139181921363,0.1857837564606975,1.7287329015857644,1.0135151365706843,1.5636563215275436,2.6670979369322043,2.7031441297972334,818,NA,22000,0.00700545,2,1,
6-fs-11,6,fs,11,1,8.49477,3.28875,0.019336514,79,0.01674685670886076,0.0056204057222186375,0.22762845845149424,1.8043803341645674,0.7885243195924437,1.3653874351514392,3.124416299266497,2.4636782365026555,764,470,22000,0.00700553,1.5,1,
6-fs-12,6,fs,12,1,5.76259,2.70872,0.0953008544,284,0.019418741549295775,0.007095495961669356,1.6537850931612346,2.2730675775887916,0.9338005199756906,10.351612452641712,25.198009787440274,23.529914641864266,796,390,22000,0.00700345,1,1,
