plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
1-fs-13,1,fs,13,1,34.1898,6.59786,0.8721554992,1886,0.02306196997879109,0.007547744131243672,2.550923079982919,1.0893189406876864,0.8344506567692579,22.83355846061875,29.80766749079264,24.873027714451577,789,860,7300,0.0077695,1.5,1,"Strange values, pb with contrast parameters in XAct -> rec again, do again !"
1-fs-14,1,fs,14,1,20.7398,5.13875,0.561832824,1024,0.025064125830078124,0.008392877429463996,2.7089597006721378,1.0603494994733988,0.9626472756363514,40.28076450153784,44.36899117527469,42.711688477611496,799,NA,22500,0.00696455,1,1,
1-fs-15,1,fs,15,1,33.936,6.57333,1.3754880986,2745,0.023872229464480872,0.008255127106970798,4.053182751650165,1.029689751953273,0.9469326157182995,43.960728405949894,47.80267442121119,45.265911528007756,787,1020,22500,0.00657391,1,1,
1-fs-16,1,fs,16,1,18.2247,4.8171,0.223520824,751,0.018133420745672438,0.0070852674569907926,1.2264718980285,1.1031232976212093,0.8840355605603372,20.285881336665494,25.313267150781833,22.377828315254984,801,NA,23000,0.00690208,2,1,
1-fs-17,1,fs,17,1,26.6492,5.82502,0.8733787681,1978,0.021826810222446917,0.009264351815222392,3.2773170230250814,1.1449857570666861,0.9182862375766706,40.68719918567725,50.73174534933187,46.58626356253572,792,850,23000,0.00696435,1,1,
1-fs-18,1,fs,18,1,30.8479,6.26712,0.438907677,1433,0.0178082682623866,0.00853764943870877,1.4228121752210037,1.0259719958758773,0.7904236163236468,26.2203801098085,34.03412443444674,26.90137571388438,859,NA,23000,0.00657458,2.5,1,
1-qi-14,1,qi,14,1,6.53551,2.88466,0.038812591,145,0.016899337793103448,0.007457051414754049,0.5938724139355612,1.0856509244339607,1.0387058023828155,18.22669884861961,19.050468774690135,19.787832454383288,796,500,23100,0.00578688,2.5,1,
1-qi-15,1,qi,15,1,11.5923,3.84185,0.050947852,161,0.018497668819875777,0.00781845476099013,0.4394973560035541,1.0644023909869706,0.813840218107375,8.844440463539813,11.567434696489325,9.414043576333688,774,600,22500,0.00641768,1,1,
1-qi-16,1,qi,16,1,7.54006,3.09844,0.0675462107,163,0.02124195963190184,0.008767766920485674,0.8958312095659716,0.9961883547300735,1.1348664813366438,22.72910309869545,19.95165791989149,22.642467820379636,792,450,22800,0.00691645,2,1,
1-qi-18,1,qi,18,1,6.77403,2.93683,0.035758759,126,0.01749040238095238,0.007474923458573785,0.5278801392966964,0.9901931262717215,0.8503733259031985,14.108632721143215,16.428397641389093,13.970271141568306,773,480,24000,0.00613521,2.5,1,
1-qp-13,1,qp,13,1,15.6639,4.46586,0.03559395,132,0.016543493106060608,0.008377023052209208,0.22723555436385576,1.0057143224033542,0.864772623266936,7.674816785499855,8.92566780599424,7.718673162998876,839,NA,23000,0.00756472,2,1,
1-qp-14,1,qp,14,1,24.321,5.56475,0.7470057336,658,0.0328578587993921,0.01914119147076289,3.0714433353891697,1.0439317523339415,1.0022443009303932,50.31964303231191,52.41264338323043,52.530273127539786,794,NA,22500,0.00648783,1,1,
1-qp-15,1,qp,15,1,20.7689,5.14235,0.3292708882,414,0.028301646328502416,0.014566676057880354,1.5854035996128828,1.0446975146250308,1.1950227417516288,46.75957334613751,40.877556847189695,48.849610059636696,850,720,23000,0.00719925,1,1,1/3 of the slice does not show any embolism...
1-qp-16,1,qp,16,1,19.8708,5.02994,0.424315978,536,0.02650595093283582,0.01749128881156349,2.1353744086800734,1.0351423719277772,1.3736640628222605,34.14893790538151,25.733375094318703,35.349012582191,967,730,22500,0.00696371,1.5,1,
1-qp-17,1,qp,17,1,19.5234,4.98578,0.443524096,837,0.02235147612903226,0.013240375544842297,2.2717564358667035,0.9768244723965056,0.9097122610100457,49.70771494860653,53.37480268189139,48.55571242870847,799,NA,22500,0.00665112,1,1,
1-qp-18,1,qp,18,1,18.9675,4.91429,0.3496654704,698,0.021154490143266477,0.013805578501010279,1.8434979327797547,0.8557526156455987,0.869847851421415,36.64410358688518,36.050313214227984,31.358287492465255,798,NA,23000,0.00658738,1,1,
2-fs-13,2,fs,13,1,25.4852,5.69639,0.5694340193999999,1139,0.023662243046532045,0.008758521214675673,2.23437139751699,1.020240516261269,1.0435780631746059,30.140275810527687,29.46624851393108,30.75033055318981,768,800,22500,0.00719982,1,1,
2-fs-14,2,fs,14,1,14.0167,4.22452,0.0688092532,377,0.014152348381962864,0.005673211421990361,0.49090908131015143,1.0236846717887296,0.7239727154698709,7.19776802776378,10.177517251227703,7.368244801112776,1109,600,23500,0.00705873,2.5,1,
2-fs-16,2,fs,16,1,21.2654,5.20346,0.0562765276,180,0.018587881666666667,0.007270432773857905,0.26463893272640066,1.0140867906533142,1.0290519741721769,14.21325899598616,14.00655998115052,14.413478199963953,795,NA,23000,0.00657443,1,1,
2-fs-17,2,fs,17,1,28.7179,6.04688,0.4907828477,1699,0.017748187522071808,0.007268293155976527,1.708978886687397,1.06713958180825,0.8151684194774492,20.872683211977748,27.32449626584461,22.274066434046013,753,NA,23500,0.00705873,1,1,
2-fs-18,2,fs,18,1,23.131,5.42691,0.2488932199,411,0.0266430898783455,0.007832188040524397,1.0760158224893002,1.0723292599254548,0.9112647166145985,12.405438778472147,14.59807972571344,13.302714984369574,798,830,22500,0.00657405,1.5,1,
2-qi-14,2,qi,14,1,3.37096,2.07172,0.0132625564,66,0.014942738181818183,0.00575073033083141,0.3934355910482474,1.0179064275922045,0.920328212519711,14.58861294873293,16.135377236250996,14.849842890170112,746,320,23000,0.00648871,2.5,1,
2-qi-15,2,qi,15,1,7.55433,3.10137,0.053724349500000004,189,0.017483810052910054,0.0075193982994591416,0.7111729233433012,1.0210844594868578,0.9607868800407524,20.691007529765802,21.989544901855126,21.12726623976942,794,450,22500,0.00691665,1,1,
2-qi-16,2,qi,16,1,4.08388,2.2803,0.0044470036999999995,34,0.012209174705882352,0.004242315855277016,0.10889163491581534,1.0359629741432888,0.6474370949708377,3.636321786197586,5.818472191095209,3.767094732571287,724,320,22500,0.006915,2.5,1,
2-qi-17,2,qi,17,1,5.96742,2.75644,0.0316181422,110,0.017514931909090908,0.007729655377335496,0.5298461009950699,0.9916578315014906,0.9350909307668706,16.058167162944983,17.029581512072816,15.924207226694463,780,460,23000,0.00600781,1.5,1,
2-qi-18,2,qi,18,1,4.47024,2.38573,0.0525991499,119,0.021909134285714286,0.009136464281363523,1.1766515869394036,0.9753747463507234,1.3068837722447022,27.7477746505747,20.709170345818443,27.06447866160133,772,400,22500,0.00600018,1.5,1,
2-qp-13,2,qp,13,1,24.3174,5.56434,0.2214596426,369,0.024776421409214093,0.012275458024864887,0.9107044445541054,1.079607357387355,1.024124245858394,17.082480650726726,18.00794373098139,18.442371792951704,797,810,24000,0.00690114,1.5,1,
2-qp-14,2,qp,14,1,26.6456,5.82462,0.6568184521,1125,0.023308956951111112,0.014150506216410131,2.4650165584561803,1.0360922954886576,0.8706684911805607,31.013955265830987,36.906492458440766,32.13332010355737,966,NA,23000,0.00623252,1.5,1,
2-qp-15,2,qp,15,1,27.1874,5.88354,0.3026363273,438,0.026260640479452056,0.013804321479705482,1.113149206249954,1.1113681886931284,0.889489246993786,26.09364075173304,32.602577666535126,28.99964225866275,795,900,22500,0.00657383,1,1,
2-qp-16,2,qp,16,1,27.2306,5.88821,0.3696260977,442,0.028351786470588235,0.016171726465689096,1.3573924103765618,1.0193152807827928,0.9197309249699003,30.238387523230063,33.51246503934709,30.82245046866015,799,900,22500,0.00658699,1,1,
2-qp-17,2,qp,17,1,29.1216,6.08924,0.6389813131,736,0.029186376630434784,0.015934320946132743,2.1941834002939395,1.0222158259239629,1.068822911520302,39.80070619763899,38.06515683716584,40.684911758176526,871,770,22500,0.00799483,1,1,looks nice
2-qp-18,2,qp,18,1,25.1569,5.65957,0.4427207012,651,0.025858359846390167,0.014054587316006159,1.7598380611283584,1.0738329804671494,1.1192501518527795,31.383578708734834,30.1100891581196,33.700721862526095,991,820,22500,0.00696277,1,1,
3-fs-13,3,fs,13,1,16.4527,4.57693,0.0426906712,161,0.01712099440993789,0.0066903491864331015,0.25947516942507914,1.0623623836920235,0.6602034755723111,4.307549791493825,6.931467394043183,4.576178864363459,785,NA,23000,0.00627555,2,1,
3-fs-14,3,fs,14,1,34.2291,6.60166,1.0659615186,2207,0.023278643611236972,0.008549950677845069,3.114196746627869,0.9929479406594299,0.8704965111651315,35.11379336319101,40.05319764240527,34.86616880872126,776,1015,23000,0.00660474,1,1,
3-fs-15,3,fs,15,1,28.1575,5.98759,0.1773528552,473,0.020602258097251587,0.007284530449987995,0.6298600912723076,1.0400314696550528,0.7669642541215368,10.029735558681015,13.600686808141091,10.431240613346557,793,970,23000,0.00619246,1.5,1,
3-fs-16,3,fs,16,1,32.9196,6.47415,0.2261212996,732,0.017827031079234973,0.008695707479340942,0.6868895721697711,1.04006445192171,0.7021860393357018,12.728649932340545,18.85343138993105,13.23861631558308,800,NA,23000,0.00649635,1.5,1,
